name,住所,lat,lon,種別,備考
熊谷特別支援学校,熊谷市川原明戸605,36.1410007,139.3177098,福祉避難所,
障害者支援施設　新光苑,熊谷市小島527,36.1548272,139.3425912,福祉避難所,
中島助産院,熊谷市大麻生422-1,36.147695,139.327923,福祉避難所,
特別養護老人ホ-ム　ル-エ,熊谷市川原明戸471-3,36.141782,139.31577,福祉避難所,
特別養護老人ホ-ム　のぞみの里,熊谷市拾六間299-1,36.166739,139.323614,福祉避難所,
特別養護老人ホ-ム　はなぶさ苑,熊谷市玉井1145-1,36.170706,139.350093,福祉避難所,
特別養護老人ホ-ム　永寿苑,熊谷市西別府1599-5,36.191587,139.331674,福祉避難所,
老人福祉施設　熊谷ホ-ム,熊谷市新堀1140,36.174747,139.320302,福祉避難所,
養護老人ホ-ム　熊谷ホ-ム,熊谷市新堀1140,36.174357,139.319831,福祉避難所,
放課後等デイサービス事業所　シェルフかごはら第2教室,熊谷市新堀919-10,36.17939,139.33268,福祉避難所,
大幡公園,熊谷市柿沼780-1,36.166733,139.378278,指定緊急避難場所(一時避難場所),【洪水時】〇、【地震時】〇
ショッピングモールビッグベア(駐車場),代1183-2,36.174058,139.367208,指定緊急避難場所(一時避難場所),【洪水時】〇、【地震時】〇
熊谷スポ-ツ文化公園,熊谷市上川上810,36.167453,139.403331,指定緊急避難場所(広域避難場所),"【洪水時※ラグビ-場・周辺広場が対象】〇
、【地震時】〇"
中条小学校,熊谷市上中条892-1,36.1809151,139.4039266,指定避難所兼指定緊急避難場所(第一避難所),【洪水時】〇(2階以上)、【地震時】〇
奈良小学校,熊谷市下奈良561-3,36.1862193,139.3791458,指定避難所兼指定緊急避難場所(第一避難所),【洪水時】〇、【地震時】〇
大幡小学校,熊谷市代681,36.1695517,139.3731998,指定避難所兼指定緊急避難場所(第一避難所),【洪水時】〇、【地震時】〇
中条中学校,熊谷市今井539-1,36.1772822,139.4045406,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】〇(2階以上)、【地震時】〇
奈良中学校,熊谷市上奈良1038,36.1826694,139.3670357,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】〇、【地震時】〇
大幡中学校,熊谷市原島834-1,36.1635162,139.3747584,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】〇、【地震時】〇
農業活性化センタ-,熊谷市中奈良897,36.190977,139.3771763,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】〇、【地震時】〇
大幡児童館,熊谷市代597-4,36.1700406,139.3764496,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】〇、【地震時】〇
熊谷市スポ-ツ･文化村「くまぴあ」(創作展示棟を除く。),熊谷市原島315,36.1707458,139.3667668,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】〇、【地震時】〇
熊谷市スポ-ツ･文化村「くまぴあ」(創作展示棟),熊谷市原島315,36.171132,139.366751,福祉避難所,
特別養護老人ホ-ム　玉の緒,熊谷市大塚179-2,36.141782,139.31577,福祉避難所,
特別養護老人ホ-ム　彩華園,熊谷市上川上266,36.166706,139.414937,福祉避難所,
障害者支援施設　花づな,熊谷市四方寺91,36.18535,139.3954,福祉避難所,
障害者就労継続支援(B型)事業所　ララク遊,熊谷市下奈良1561,36.19851,139.37498,福祉避難所,
放課後等デイサービス事業所　くりのみ,熊谷市下奈良498-1,36.18671,139.38476,福祉避難所,
久下第1公園,熊谷市久下1-42,36.114512,139.426221,指定緊急避難場所(一時避難場所),【洪水時】×、【地震時】〇
久下第2公園,熊谷市久下1-167,36.116983,139.427522,指定緊急避難場所(一時避難場所),【洪水時】×、【地震時】〇
久下第3公園,熊谷市久下3-103,36.116204,139.430317,指定緊急避難場所(一時避難場所),【洪水時】×、【地震時】〇
久下第4公園,熊谷市久下4-171,36.11984,139.433979,指定緊急避難場所(一時避難場所),【洪水時】×、【地震時】〇
佐谷田公園,熊谷市佐谷田371-3,36.13359,139.409469,指定緊急避難場所(一時避難場所),【洪水時】×、【地震時】〇
雀宮第1公園,熊谷市上之1306,36.160372,139.397501,指定緊急避難場所(一時避難場所),【洪水時】×、【地震時】〇
上之公園,熊谷市上之1774-2,36.15411,139.398103,指定緊急避難場所(一時避難場所),【洪水時】×、【地震時】〇
平戸公園,熊谷市平戸493,36.141524,139.409537,指定緊急避難場所(一時避難場所),【洪水時】×、【地震時】〇
熊谷流通センタ-内　中央緑地,熊谷市問屋町3-1800-59,36.131361,139.426289,指定緊急避難場所(一時避難場所),【洪水時】×、【地震時】〇
成田小学校,熊谷市上之2810-1,36.154129,139.406078,指定避難所兼指定緊急避難場所(第一避難所),【洪水時】〇、【地震時】〇
佐谷田小学校,熊谷市佐谷田1030,36.1341284,139.4144007,指定避難所兼指定緊急避難場所(第一避難所),【洪水時】〇(2階以上)、【地震時】〇
久下小学校,熊谷市久下808,36.1217554,139.4181093,指定避難所兼指定緊急避難場所(第一避難所),【洪水時】〇(2階以上)、【地震時】〇
